"order","family","sci_name","common_name","iucn_2024","status","mass_g","habitat","habitat_density","migration","trophic_level","trophic_niche","primary_lifestyle","range_size","lifespan","repro_age","clutches_per_year","kipps_distance","hand_wing_index","nest_type","majority_nesting_location","most_common_nesting_location","second_nesting_location","nest_category","any_tree_nest","ground_nest","shrub_nest","snag_nest","live_tree_nest","conifer_nest","deciduous_nest","majority_foraging_location","most_common_foraging_location","second_foraging_location","av_id","elton_id","d_id","elton_common_name","elton_sci_name","elton_syn","d_sci_name","for_hawking","for_foliage_gleaning","for_bark_gleaning","fstimb","diet_inv","diet_nect","diet_seed","for_strat_ground","for_strat_understory","for_strat_canopy","elevational_range","forest_use","primary_habitat","habitat_breadth","primary_diet","diet_breadth","eco_spec_index","old_growth"
"ANSERIFORMES"," Anatidae","Melanitta perspicillata","Surf Scoter","LC","",1096.3,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",4808381.84,10,2.5,0.9,115,51.2,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,425,752,330,"Surf Scoter","Melanitta perspicillata",NA,NA,0,0,0,0,80,0,10,0,0,0,800,4,"Wetland",4,"Invertebrate",3,0.921,0
"ANSERIFORMES"," Anatidae","Melanitta deglandi","White-winged Scoter","LC","",1800.2,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",4842634.82,21,2.5,1,134.5,49.8,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,428,753,340,NA,"Melanitta fusca","Melanitta deglandi","Melanitta fusca",0,0,0,0,80,0,0,0,0,0,NA,2,"Wetland",3,"Invertebrate",2,1.222,0
"ANSERIFORMES"," Anatidae","Melanitta americana","Black Scoter","NT","Near-threatened",1117,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",3674284.73,16,2.5,0.9,105.2,47.9,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,430,749,350,NA,"Melanitta nigra",NA,"Melanitta nigra",0,0,0,0,70,0,10,0,0,0,NA,0,"Wetland",2,"Invertebrate",2,1.398,0
"ANSERIFORMES"," Anatidae","Clangula hyemalis","Long-tailed Duck","VU","Vulnerable",871,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",9492361.68,20,2.5,1,108.5,50.9,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,420,748,360,"Long-tailed Duck","Clangula hyemalis",NA,NA,0,0,0,0,80,0,0,0,0,0,NA,0,"Wetland",4,"Invertebrate",2,1.097,0
"ANSERIFORMES"," Anatidae","Bucephala albeola","Bufflehead","LC","",397.5,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",4859143.91,18,2,1,75,47.4,"cavity","tree","any_tree_nest","live_tree_nest","cavity",100,0,0,40,60,30,30,"water","water",NA,431,760,370,"Bufflehead","Bucephala albeola",NA,NA,0,0,0,0,70,0,10,0,0,0,2500,0,"Wetland",4,"Invertebrate",3,0.921,0
"ANSERIFORMES"," Anatidae","Bucephala clangula","Common Goldeneye","LC","",918.6,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",22082935.41,11.5,2,1,105.4,51.4,"cavity","tree","any_tree_nest","snag_nest","cavity",90,5,0,50,40,10,30,"water","water",NA,432,757,380,"Common Goldeneye","Bucephala clangula",NA,NA,0,0,0,0,70,0,10,0,0,0,2000,0,"Wetland",3,"Invertebrate",4,0.921,0
"ANSERIFORMES"," Anatidae","Bucephala islandica","Barrow's Goldeneye","LC","",921.2,"Wetland","open",2,"Carnivore","Aquatic predator","Aquatic",2257979.96,18,2.5,1,103,47.2,"cavity","tree","any_tree_nest","snag_nest","cavity",95,0,0,50,45,15,30,"water","water",NA,433,759,390,"Barrow's Goldeneye","Bucephala islandica",NA,NA,0,0,0,0,80,0,10,0,0,0,1850,0,"Wetland",3,"Invertebrate",3,1.046,0
"ANSERIFORMES"," Anatidae","Mergellus albellus","Smew","LC","Rare/Accidental",608.6,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",11990223.32,NA,NA,NA,98.8,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water",NA,434,761,NA,"Smew",NA,NA,NA,NA,NA,NA,NA,70,0,0,0,0,0,NA,5,"Wetland",6,"Fish",2,0.921,0
"ANSERIFORMES"," Anatidae","Lophodytes cucullatus","Hooded Merganser","LC","",613.8,"Wetland","open",3,"Carnivore","Aquatic predator","Aquatic",5510396.5,11,2,1,95,50.9,"cavity","snag","any_tree_nest","snag_nest","cavity",100,0,0,60,40,0,40,"water","water",NA,435,762,400,"Hooded Merganser","Lophodytes cucullatus",NA,NA,0,0,0,0,40,0,10,0,0,0,1180,0,"Wetland",3,"Invertebrate",2,1.222,0
"ANSERIFORMES"," Anatidae","Mergus merganser","Common Merganser","LC","",1451,"Riverine","open",3,"Carnivore","Aquatic predator","Aquatic",24915961.61,12.5,2.5,1,123.8,46,"cavity","tree","any_tree_nest","snag_nest","cavity",85,5,0,50,35,15,20,"water","water",NA,436,767,410,"Common Merganser","Mergus merganser",NA,NA,0,0,0,0,10,0,0,0,0,0,2800,4,"Wetland",4,"Fish",2,1.097,0
