internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22698175,Ardenna pacifica,Ardenna pacifica ssp. pacifica — Christidis and Boles (2008),Ardenna,pacifica,,subspecies,— Christidis and Boles (2008)
22698182,Ardenna bulleri,"Ardenna bulleri ssp. bulleri (Salvin, 1888) — Christidis and Boles (2008)",Ardenna,bulleri,,subspecies,"(Salvin, 1888) — Christidis and Boles (2008)"
22698182,Ardenna bulleri,"Puffinus bulleri Salvin, 1888",Puffinus,bulleri,"Salvin, 1888",,
22698195,Ardenna creatopus,"Ardenna creatopus ssp. creatopus (Coues, 1864) — Christidis and Boles (2008)",Ardenna,creatopus,,subspecies,"(Coues, 1864) — Christidis and Boles (2008)"
22698195,Ardenna creatopus,"Puffinus creatopus Coues, 1864",Puffinus,creatopus,"Coues, 1864",,
22698216,Ardenna tenuirostris,Ardenna tenuirostris ssp. tenuirostris — Christidis and Boles (2008),Ardenna,tenuirostris,,subspecies,— Christidis and Boles (2008)
22698216,Ardenna tenuirostris,"Puffinus tenuirostris (Temminck, 1835)",Puffinus,tenuirostris,"(Temminck, 1835)",,
22698335,Phoebastria albatrus,"Diomedea albatrus ssp. albatrus Pallas, 1769 — Sibley and Monroe (1990, 1993)",Diomedea,albatrus,,subspecies,"Pallas, 1769 — Sibley and Monroe (1990, 1993)"
22698335,Phoebastria albatrus,"Diomedea albatrus ssp. albatrus Pallas, 1769 — Stotz <i>et al<i/>. (1996)",Diomedea,albatrus,,subspecies,"Pallas, 1769 — Stotz <i>et al<i/>. (1996)"
22698335,Phoebastria albatrus,"Diomedea albatrus ssp. albatrus Pallas, 1769 — Collar <i>et al<i/>. (1994)",Diomedea,albatrus,,subspecies,"Pallas, 1769 — Collar <i>et al<i/>. (1994)"
22698335,Phoebastria albatrus,"Diomedea albatrus ssp. albatrus Pallas, 1769 — Collar and Andrew (1988)",Diomedea,albatrus,,subspecies,"Pallas, 1769 — Collar and Andrew (1988)"
22698365,Phoebastria immutabilis,Diomedea immutabilis ssp. immutabilis — Stotz <i>et al</i>. (1996),Diomedea,immutabilis,,subspecies,— Stotz <i>et al</i>. (1996)
22698365,Phoebastria immutabilis,"Diomedea immutabilis ssp. immutabilis — Sibley and Monroe (1990, 1993)",Diomedea,immutabilis,,subspecies,"— Sibley and Monroe (1990, 1993)"
22698485,Hydrobates microsoma,Oceanodroma microsoma AOU checklist (1998 + supplements),Oceanodroma,microsoma,AOU checklist (1998 + supplements),,
22698485,Hydrobates microsoma,"Oceanodroma microsoma Sibley and Monroe (1990, 1993)",Oceanodroma,microsoma,"Sibley and Monroe (1990, 1993)",,
22698485,Hydrobates microsoma,Oceanodroma microsoma SACC (2005),Oceanodroma,microsoma,SACC (2005),,
22698485,Hydrobates microsoma,Oceanodroma microsoma BirdLife International (2004),Oceanodroma,microsoma,BirdLife International (2004),,
22698485,Hydrobates microsoma,"Halocyptena microsoma Coues, 1864",Halocyptena,microsoma,"Coues, 1864",,
22698562,Hydrobates homochroa,"Oceanodroma homochroa (Coues, 1864)",Oceanodroma,homochroa,"(Coues, 1864)",,
22690515,Streptopelia roseogrisea,Streptopelia risoria risoria AOU checklist (1998 + supplements),Streptopelia risoria,risoria,AOU checklist (1998 + supplements),,
22727746,Anous ceruleus,"Procelsterna cerulea (Bennett, 1840)",Procelsterna,cerulea,"(Bennett, 1840)",,
22696887,Urile urile,"Phalacrocorax urile (Gmelin, 1789)",Phalacrocorax,urile,"(Gmelin, 1789)",,
22696887,Urile urile,"Pelecanus urile Gmelin, 1789",Pelecanus,urile,"Gmelin, 1789",,
22696773,Nannopterum brasilianum,"Phalacrocorax brasilianus (Gmelin, 1789)",Phalacrocorax,brasilianus,"(Gmelin, 1789)",,
22696773,Nannopterum brasilianum,"Nannopterum brasilianus (Gmelin, 1789)",Nannopterum,brasilianus,"(Gmelin, 1789)",,
22696776,Nannopterum auritum,"Phalacrocorax auritus (Lesson, 1831)",Phalacrocorax,auritus,"(Lesson, 1831)",,
22696776,Nannopterum auritum,"Nannopterum auritus (Lesson, 1831)",Nannopterum,auritus,"(Lesson, 1831)",,
22696753,Urile penicillatus,"Phalacrocorax penicillatus (Brandt, 1837)",Phalacrocorax,penicillatus,"(Brandt, 1837)",,
22696753,Urile penicillatus,"Compsohaelius penicillatus Brandt, 1837",Compsohaelius,penicillatus,"Brandt, 1837",,
22723840,Caryothraustes celaeno,"Rhodothraupis celaeno (Deppe, 1830)",Rhodothraupis,celaeno,"(Deppe, 1830)",,
22721064,Melospiza lincolnii,Zonotrichia lincolnii lincolnii Stotz et al. (1996),Zonotrichia lincolnii,lincolnii,Stotz et al. (1996),,
22721058,Melospiza melodia,Zonotrichia melodia melodia Stotz et al. (1996),Zonotrichia melodia,melodia,Stotz et al. (1996),,
22721141,Passerculus bairdii,"Ammodramus bairdii (Audubon, 1844)",Ammodramus,bairdii,"(Audubon, 1844)",,
22679909,Anser rossii,Anser rossi rossi Stotz et al. (1996),Anser rossi,rossi,Stotz et al. (1996),,
22679909,Anser rossii,"Anser rossii rossii Sibley and Monroe (1990, 1993)",Anser rossii,rossii,"Sibley and Monroe (1990, 1993)",,
22679909,Anser rossii,"Chen rossii Cassin, 1861",Chen,rossii,"Cassin, 1861",,
22721200,Amphispiza quinquestriata,Aimophila quinquestriata,Aimophila quinquestriata,,Stotz et al. (1996),,
22721200,Amphispiza quinquestriata,Aimophila quinquestriata,Aimophila quinquestriata,,"BirdLife International (2004, 2008)",,
22721200,Amphispiza quinquestriata,Aimophila quinquestriata,Aimophila quinquestriata,,"Sibley and Monroe (1990, 1993)",,
22721272,Peucaea cassinii,Aimophila cassinii,Aimophila cassinii,,"Sibley and Monroe (1990, 1993)",,
22721272,Peucaea cassinii,Aimophila cassinii,Aimophila cassinii,,Stotz et al. (1996),,
22721272,Peucaea cassinii,Aimophila cassinii,Aimophila cassinii,,"BirdLife International (2004, 2008)",,
22721280,Peucaea carpalis,Aimophila carpalis,Aimophila carpalis,,"BirdLife International (2004, 2008)",,
22721280,Peucaea carpalis,Aimophila carpalis,Aimophila carpalis,,Stotz et al. (1996),,
22721280,Peucaea carpalis,Aimophila carpalis,Aimophila carpalis,,"Sibley and Monroe (1990, 1993)",,
22721315,Melozone aberti,Pipilo aberti,Pipilo aberti,,Stotz et al. (1996),,
22721315,Melozone aberti,Pipilo aberti,Pipilo aberti,,"Sibley and Monroe (1990, 1993)",,
22721315,Melozone aberti,Pipilo aberti,Pipilo aberti,,"BirdLife International (2004, 2008)",,
22721323,Melozone crissalis,Pipilo crissalis,Pipilo crissalis,,Stotz et al. (1996),,
22721323,Melozone crissalis,Pipilo crissalis,Pipilo crissalis,,"BirdLife International (2004, 2008)",,
22721323,Melozone crissalis,Pipilo crissalis,Pipilo crissalis,,"Sibley and Monroe (1990, 1993)",,
22680163,Mareca americana,"Anas americana Gmelin, 1789",Anas,americana,"Gmelin, 1789",,
22721879,Cardellina pusilla,"Wilsonia pusilla (Wilson, 1811)",Wilsonia,pusilla,"(Wilson, 1811)",,
22721882,Cardellina canadensis,"Wilsonia canadensis (Linnaeus, 1766)",Wilsonia,canadensis,"(Linnaeus, 1766)",,
22721955,Basileuterus lachrymosus,"Euthlypis lachrymosa (Bonaparte, 1850)",Euthlypis,lachrymosa,"(Bonaparte, 1850)",,
22721683,Setophaga townsendi,"Dendroica townsendi (Townsend, 1837)",Dendroica,townsendi,"(Townsend, 1837)",,
22721679,Setophaga nigrescens,"Dendroica nigrescens (Townsend, 1837)",Dendroica,nigrescens,"(Townsend, 1837)",,
22721708,Setophaga graciae,"Dendroica graciae Baird, 1865",Dendroica,graciae,"Baird, 1865",,
22721725,Setophaga discolor,"Dendroica discolor (Vieillot, 1809)",Dendroica,discolor,"(Vieillot, 1809)",,
22721719,Setophaga pinus,"Dendroica pinus (Linnaeus, 1766)",Dendroica,pinus,"(Linnaeus, 1766)",,
22721664,Setophaga pensylvanica,"Dendroica pensylvanica (Linnaeus, 1766)",Dendroica,pensylvanica,"(Linnaeus, 1766)",,
22721657,Setophaga petechia,"Dendroica petechia (Linnaeus, 1766)",Dendroica,petechia,"(Linnaeus, 1766)",,
22721695,Setophaga fusca,"Dendroica fusca (Müller, 1776)",Dendroica,fusca,"(Müller, 1776)",,
22721667,Setophaga magnolia,"Dendroica magnolia (Wilson, 1811)",Dendroica,magnolia,"(Wilson, 1811)",,
22721670,Setophaga tigrina,"Dendroica tigrina (Gmelin, 1789)",Dendroica,tigrina,"(Gmelin, 1789)",,
